date,portfolio_value,cash,positions_value,daily_return,daily_pnl,cumulative_return,cumulative_pnl,num_positions
2013-11-13,70323.73393117759,54578.24990398692,15745.484027190665,0.0011029436850742852,77.47766474916716,-0.29676266068822416,-29676.266068822413,4
2013-11-14,70409.5955321142,54856.115879070174,15553.479653044022,0.0012209476962733137,85.86160093660874,-0.29590404467885806,-29590.404467885804,3
2013-11-15,70377.46710538214,61995.51077313112,8381.956332251015,-0.0004563075031073701,-32.12842673205887,-0.29622532894617865,-29622.532894617863,2
2013-11-18,70391.34529382535,58347.38611405184,12043.959179773505,0.0001971964751506204,13.878188443210092,-0.29608654706174653,-29608.654706174653,3
2013-11-19,70393.77647349978,61805.73574373281,8588.040729766966,3.4538048168868376e-05,2.431179674429586,-0.29606223526500225,-29606.223526500224,2
2013-11-20,70349.39357227959,59002.03638907089,11347.357183208696,-0.0006304946750072114,-44.382901220189524,-0.2965060642772041,-29650.606427720413,2
2013-11-21,70422.41566302872,59281.58950513758,11140.82615789114,0.0010379917585800586,73.02209074913117,-0.2957758433697128,-29577.584336971282,3
2013-11-22,70443.83936819997,62455.50798384611,7988.3313843538635,0.000304217129866259,21.42370517125528,-0.29556160631800027,-29556.160631800027,2
2013-11-25,70459.60438808516,55261.467721575194,15198.13666650997,0.00022379557994830536,15.765019885191577,-0.2954039561191483,-29540.395611914835,3
2013-11-26,70444.80823014777,53869.144853593985,16575.663376553784,-0.0002099949051076008,-14.796157937395037,-0.2955519176985223,-29555.19176985223,3
2013-11-27,70478.7486072413,53648.423439832084,16830.325167409217,0.00048180097222560395,33.940377093531424,-0.29521251392758696,-29521.2513927587,3
2013-11-29,70546.9080943784,48070.66317550944,22476.244918868964,0.0009670927546818319,68.15948713710532,-0.2945309190562159,-29453.091905621593,4
2013-12-02,70420.22962908848,39548.00095969609,30872.228669392396,-0.0017956628959620812,-126.67846528992231,-0.2957977037091152,-29579.770370911516,7
2013-12-03,70345.78773452828,29566.334584822234,40779.45314970604,-0.0010571095117454517,-74.44189456020831,-0.29654212265471724,-29654.212265471724,7
2013-12-04,70436.28912160413,32590.870976566228,37845.418145037904,0.001286521766127503,90.50138707585575,-0.29563710878395866,-29563.71087839587,7
2013-12-05,70245.19530651195,35537.04430556437,34708.151000947575,-0.00271300230996375,-191.09381509218656,-0.2975480469348806,-29754.804693488055,8
2013-12-06,70358.00244802557,33652.23257089062,36705.769877134946,0.0016059054433743504,112.8071415136219,-0.2964199755197443,-29641.997551974433,8
2013-12-09,70445.88569103251,34278.96797725642,36166.91771377609,0.0012490866703025814,87.88324300694512,-0.2955411430896749,-29554.114308967488,6
2013-12-10,70474.5840852522,38154.939823755536,32319.644261496658,0.00040738211945478143,28.698394219682086,-0.29525415914747805,-29525.415914747806,6
2013-12-11,70443.72112250939,45816.59621808011,24627.124904429285,-0.00043793039921267545,-30.862962742801756,-0.29556278877490605,-29556.278877490608,5
2013-12-12,70273.04610493444,38137.182121147925,32135.86398378652,-0.0024228563576038933,-170.67501757494756,-0.29726953895065555,-29726.953895065555,6
2013-12-13,70112.45204079505,57653.469313145775,12458.982727649272,-0.0022852867926002798,-160.59406413939723,-0.2988754795920495,-29887.547959204952,4
2013-12-16,70189.423877109,60503.28338206796,9686.140495041043,0.0010978340376566543,76.97183631395455,-0.29810576122890997,-29810.576122890998,3
2013-12-17,70168.33662936758,39476.706187682204,30691.630441685375,-0.0003004334068668773,-21.087247741423198,-0.2983166337063242,-29831.66337063242,7
2013-12-18,70054.78475323497,51623.37088465884,18431.413868576128,-0.0016182780095300765,-113.55187613260932,-0.2994521524676503,-29945.21524676503,5
2013-12-19,70126.07413580854,50315.45819244263,19810.615943365905,0.001017623319016399,71.2893825735664,-0.29873925864191464,-29873.925864191464,4
2013-12-20,70198.0933827745,51834.27215384069,18363.82122893381,0.0010269967034870933,72.01924696596689,-0.298019066172255,-29801.906617225497,4
2013-12-23,70160.38506254977,54002.448382644565,16157.936679905208,-0.0005371701481850137,-37.708320224730414,-0.29839614937450226,-29839.614937450227,3
2013-12-24,70280.5999702387,49196.41997916708,21084.17999107162,0.0017134299873319974,120.21490768893273,-0.29719400029761295,-29719.400029761295,3
2013-12-26,70207.65016312097,53638.6447246244,16569.00543849657,-0.0010379792880059132,-72.94980711773678,-0.29792349836879034,-29792.34983687903,4
2013-12-27,70222.97806991992,46810.637181408616,23412.340888511302,0.00021832245864000186,15.327906798949698,-0.29777021930080083,-29777.02193008008,5
2013-12-30,70149.33761271933,49104.53632890355,21044.80128381578,-0.0010486661093646909,-73.64045720058493,-0.2985066238728067,-29850.662387280667,3
2013-12-31,70193.39259097123,53241.68828025168,16951.70431071955,0.0006280170241251973,44.05497825189377,-0.29806607409028774,-29806.607409028773,3
2014-01-02,70130.66709128278,48221.84669196605,21908.820399316734,-0.0008936097454920873,-62.72549968844396,-0.29869332908717217,-29869.332908717217,4
2014-01-03,70088.49825687069,53498.55071946939,16589.947537401298,-0.0006012895094410657,-42.16883441209211,-0.2991150174312931,-29911.50174312931,4
2014-01-06,70120.0101884001,53235.11173503336,16884.898453366746,0.00044960203618466123,31.51193152941414,-0.29879989811599894,-29879.989811599895,3
2014-01-07,70133.86512953704,51029.400268251135,19104.464861285902,0.0001975889778068417,13.854941136931302,-0.2986613487046296,-29866.134870462964,4
2014-01-08,70116.5623570451,49081.593649931565,21034.968707113534,-0.0002467106648119184,-17.302772491937503,-0.298834376429549,-29883.4376429549,3
2014-01-09,70116.0636476952,49081.24455338665,21034.819094308557,-7.112575590251034e-06,-0.4987093498930335,-0.29883936352304796,-29883.936352304794,3
2014-01-10,70238.73904469743,56190.991235757945,14047.747808939486,0.0017496047356368955,122.67539700222551,-0.2976126095530257,-29761.26095530257,2
2014-01-13,70257.48564015262,63231.73707613736,7025.748564015259,0.00026689823465165575,18.74659545518807,-0.29742514359847383,-29742.51435984738,1
